"timestamp","visitor_id","session_id","event","path","referrer","duration_ms"
"2026-08-25T10:18:49.957Z","2b83ba9a-bc5b-40fb-836b-787e8147392d","57f6aa38-933b-4d55-b5c0-a41b91a866d7","pageview","/","","0"
"2026-08-25T10:21:11.957Z","2b83ba9a-bc5b-40fb-836b-787e8147392d","57f6aa38-933b-4d55-b5c0-a41b91a866d7","pageview","/","","0"
